id,artist,name,album,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres,listener
7f9I5WdyXm5q1XqnSYgQZb,Arctic Monkeys,Brianstorm,Favourite Worst Nightmare,2007,67,0,0.42,0.974,1,-4.706,1,0.191,8.15e-05,0.00155,0.0871,0.463,165.182,172867,4,garage rock;modern rock;permanent wave;rock;sheffield indie,0
1DWZUa5Mzf2BwzpHtgbHPY,Mac Miller,Good News,Circles,2020,69,0,0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,342040,4,hip hop;pittsburgh rap;rap,0
63T7DJ1AFDD6Bn8VzG6JE8,The Rolling Stones,"Paint It, Black",Aftermath,1966,83,0,0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,202267,4,album rock;british invasion;classic rock;rock,0
7FAFkQQZFeNwOFzTrSDFIh,Mac Miller,The Spins,K.I.D.S. (Deluxe),2010,83,1,0.794,0.766,9,-3.894,0,0.0377,0.0135,0.0,0.0785,0.55,127.006,195873,4,hip hop;pittsburgh rap;rap,0
2z9iuAxKv4TTeCrPAxxKg9,Mac Miller,Love Lost,"I Love Life, Thank You",2022,77,1,0.735,0.812,2,-4.417,1,0.151,0.528,0.0,0.186,0.584,109.829,162876,4,hip hop;pittsburgh rap;rap,0
3jfZ9M23l0L7RxzYMTgBTv,Joy Again,Looking Out for You,Looking Out for You,2016,79,0,0.682,0.9,9,-5.028,1,0.0874,0.0884,0.063,0.0685,0.937,100.721,179499,4,pov: indie,0
7rbECVPkY5UODxoOUVKZnA,Kanye West,I Wonder,Graduation,2007,81,1,0.542,0.466,0,-8.668,1,0.0824,0.141,0.000444,0.125,0.127,191.386,243440,4,chicago rap;hip hop;rap,0
3L0IKstjUgDFVQAbQIRZRv,Playboi Carti,R.I.P.,Die Lit,2018,74,1,0.725,0.725,8,-6.067,0,0.159,0.0119,0.0,0.086,0.515,140.003,192027,4,atl hip hop;plugg;pluggnb;rage rap;rap,0
5mCPDVBb16L4XQwDdbRUpz,Drake,Passionfruit,More Life,2017,81,1,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4,canadian hip hop;canadian pop;hip hop;pop rap;rap,0
6QeYSvYqYUsfBzsApbjDHO,TV Girl,Cigarettes out the Window,Who Really Cares,2016,85,0,0.625,0.659,0,-5.669,1,0.0337,0.12,0.0,0.17,0.594,113.551,198961,4,pov: indie,0
0j5FJJOmmnXPd0XajFWkMF,Massive Attack,Unfinished Sympathy - 2012 Mix/Master,Blue Lines (2012 Mix/Master),1991,64,0,0.592,0.835,7,-8.475,1,0.032,0.0393,0.209,0.665,0.703,114.436,308427,4,downtempo;electronica;trip hop,0
02LAK7qT1wya0klSeNO96f,Kanye West,RoboCop,808s & Heartbreak,2008,54,0,0.698,0.447,5,-8.04,0,0.102,0.157,0.00564,0.405,0.407,133.776,274360,4,chicago rap;hip hop;rap,0
5TRPicyLGbAF2LGBFbHGvO,Kanye West,Flashing Lights,Graduation,2007,84,1,0.639,0.628,6,-7.578,0,0.0398,0.0381,0.0,0.386,0.43,90.482,237507,4,chicago rap;hip hop;rap,0
0w2piYWj1F2bzUftzGJgK9,Kanye West,Paranoid,808s & Heartbreak,2008,62,0,0.587,0.611,6,-7.408,1,0.106,0.114,9.83e-05,0.0765,0.464,114.991,277907,4,chicago rap;hip hop;rap,0
4ewazQLXFTDC8XvCbhvtXs,Joji,Glimpse of Us,SMITHEREENS,2022,77,0,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,233456,3,viral pop,0
5kxVyCgEUND7E2QKG7JmoF,Arctic Monkeys,Teddy Picker,Favourite Worst Nightmare,2007,68,0,0.637,0.963,9,-5.116,1,0.0882,0.000286,0.000889,0.0449,0.823,150.1,165000,4,garage rock;modern rock;permanent wave;rock;sheffield indie,0
5KGbRvZyVyKP2AEJMHErB4,Arctic Monkeys,Old Yellow Bricks,Favourite Worst Nightmare,2007,64,0,0.66,0.837,0,-4.315,1,0.0682,0.000147,6.62e-06,0.0788,0.757,135.158,193227,4,garage rock;modern rock;permanent wave;rock;sheffield indie,0
3hxIUxnT27p5WcmjGUXNwx,Hotel Ugly,Shut up My Moms Calling,Shut up My Moms Calling,2020,87,0,0.485,0.409,9,-10.711,0,0.101,0.325,0.0,0.103,0.376,138.419,164571,4,modern indie pop,0
0BxE4FqsDD1Ot4YuBXwAPp,Arctic Monkeys,505,Favourite Worst Nightmare,2007,85,0,0.526,0.866,0,-5.822,1,0.0568,0.00287,7.78e-05,0.0945,0.248,140.266,253587,4,garage rock;modern rock;permanent wave;rock;sheffield indie,0
0eDQj41kzBhMKQIkTt6OJR,Arctic Monkeys,A Certain Romance,"Whatever People Say I Am, That's What I'm Not",2006,63,0,0.455,0.881,11,-5.587,1,0.0401,0.000566,6.06e-05,0.11,0.201,137.949,331200,4,garage rock;modern rock;permanent wave;rock;sheffield indie,0
3DQVgcqaP3iSMbaKsd57l5,Arctic Monkeys,I Bet You Look Good On The Dancefloor,"Whatever People Say I Am, That's What I'm Not",2006,74,0,0.535,0.948,6,-4.19,0,0.0356,0.00225,0.0,0.376,0.778,103.183,173680,4,garage rock;modern rock;permanent wave;rock;sheffield indie,0
5vHLwhxxlGzmClMcxRRFPr,Nirvana,Lithium,Nevermind (Remastered),1991,72,0,0.678,0.656,7,-6.41,1,0.0381,0.00174,0.0,0.0631,0.485,123.207,257053,4,grunge;permanent wave;rock,0
1s9DTymg5UQrdorZf43JQm,Playboi Carti,Fell In Luv (feat. Bryson Tiller),Die Lit,2018,74,1,0.657,0.668,2,-6.208,1,0.136,0.0273,0.0,0.32,0.227,162.997,206333,4,atl hip hop;plugg;pluggnb;rage rap;rap,0
6j8gTlbhj9KJSeypNcNAS9,Kanye West,Street Lights,808s & Heartbreak,2008,61,0,0.644,0.487,6,-9.654,1,0.034,0.0287,0.0166,0.206,0.467,125.528,189907,4,chicago rap;hip hop;rap,0
6dBUzqjtbnIa1TwYbyw5CM,TV Girl,Lovers Rock,French Exit,2014,87,0,0.559,0.871,5,-5.338,0,0.0397,7.53e-06,0.00545,0.096,0.572,104.97,213920,4,pov: indie,0
2x8evxqUlF0eRabbW2JBJd,Arctic Monkeys,Fluorescent Adolescent,Favourite Worst Nightmare,2007,78,0,0.654,0.828,1,-5.377,0,0.0281,0.00146,0.000144,0.122,0.79,112.056,183893,4,garage rock;modern rock;permanent wave;rock;sheffield indie,0
1lGYQnMcERmhNPZDHIJuoy,Mac Miller,Nikes on My Feet,K.I.D.S. (Deluxe),2010,49,1,0.801,0.57,9,-5.103,0,0.265,0.559,0.0,0.111,0.565,92.058,164632,4,hip hop;pittsburgh rap;rap,0
7uv632EkfwYhXoqf8rhYrg,Massive Attack,Angel,Mezzanine,1998,67,0,0.714,0.309,7,-10.796,1,0.0291,0.0157,0.807,0.0777,0.0671,107.346,379533,4,downtempo;electronica;trip hop,0
6UB9mShVLbMm0W4e6vud4C,Metallica,Battery,Master Of Puppets (Remastered),1986,64,0,0.481,0.928,11,-8.799,0,0.0672,0.00022,0.558,0.106,0.427,96.699,312360,4,hard rock;metal;old school thrash;rock;thrash metal,0
1aXV8GrmQLvgoFtBPERP7E,Eyedress,Jealous,Jealous,2019,84,0,0.474,0.921,9,-10.431,0,0.0457,0.00491,0.85,0.476,0.696,93.01,122339,4,noise pop;pov: indie,0
67Hna13dNDkZvBpTXRIaOJ,Massive Attack,Teardrop,Mezzanine,1998,71,0,0.615,0.419,11,-8.8,0,0.0395,0.0173,0.497,0.135,0.216,76.997,330773,4,downtempo;electronica;trip hop,0
0ftMOhVfFm5Wbs5sZdEtsC,Arctic Monkeys,Balaclava,Favourite Worst Nightmare,2007,59,0,0.414,0.811,11,-4.4,0,0.0919,0.00133,0.000129,0.333,0.762,137.617,171227,4,garage rock;modern rock;permanent wave;rock;sheffield indie,0
0idZZsnM7nuSYanlpKTuwV,Arctic Monkeys,"If You Were There, Beware",Favourite Worst Nightmare,2007,55,0,0.328,0.805,4,-6.74,0,0.0383,0.000938,0.048,0.104,0.264,135.546,276200,4,garage rock;modern rock;permanent wave;rock;sheffield indie,0
2BqfIlpahcebJPeu1IUTEo,Arctic Monkeys,Do Me a Favour,Favourite Worst Nightmare,2007,64,1,0.469,0.738,11,-6.638,0,0.0619,0.00013,0.0577,0.078,0.624,180.15,209253,4,garage rock;modern rock;permanent wave;rock;sheffield indie,0
7x8dCjCr0x6x2lXKujYD34,Foo Fighters,The Pretender,"Echoes, Silence, Patience & Grace",2007,78,0,0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.028,0.365,172.984,269373,4,alternative metal;alternative rock;modern rock;permanent wave;post-grunge;rock,0
7EkWXAI1wn8Ii883ecd9xr,Surf Curse,Freaks,Freaks,2021,85,0,0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,147062,4,dreamo;indie surf;pov: indie;surf punk;vegas indie,0
6FP4peicCGnib7asns71fs,DJ Jean,The Launch - Radio Edit,The Launch,1999,56,0,0.739,0.998,11,-5.669,0,0.137,0.0622,0.922,0.266,0.259,136.513,220360,4,bouncy house;dutch trance,0
3bUNyRrTFJDd4mqvUcb1Aa,Underworld,Born Slippy (Nuxx) - Radio Edit,Born Slippy (Nuxx) [Radio Edit],1995,58,0,0.542,0.966,10,-8.255,1,0.0421,0.00107,0.128,0.0984,0.351,140.071,264187,4,big beat;electronica,0
3z5fPVImx59TSttFEDZbFJ,Da Hool,Meet Her at the Loveparade - Radio Edit,Meet Her at the Loveparade,2001,60,0,0.794,0.645,7,-7.926,1,0.0981,0.00079,0.903,0.0487,0.141,131.973,213440,4,bubble trance,0
6QNVYknUkjgXMHN44LllzC,The Prodigy,No Good (Start the Dance) - Edit,No Good (Start the Dance),1994,41,0,0.633,0.942,5,-12.969,0,0.0454,0.00441,0.778,0.124,0.207,144.996,241293,4,big beat;breakbeat;dance rock;hardcore techno;rave,0
0Ja4hLKiUSw01E01pJ1yGr,The Prodigy,Breathe,The Fat of the Land,1997,66,0,0.673,0.808,9,-6.183,1,0.0491,0.0121,0.878,0.037,0.303,130.041,336280,4,big beat;breakbeat;dance rock;hardcore techno;rave,0
6eSyPxwll9fv7W5VJsTY8g,The Prodigy,Warrior's Dance - Edit,Warrior's Dance,2009,24,0,0.574,0.996,3,-4.227,1,0.16,0.014,0.811,0.321,0.0724,137.031,177257,4,big beat;breakbeat;dance rock;hardcore techno;rave,0
51Grh1RyUDcMBbpuyUIUHI,Liana Flores,rises the moon,recently,2019,82,0,0.483,0.129,5,-20.149,0,0.0349,0.947,0.145,0.106,0.203,137.35,161929,3,pov: indie,0
6tsojOQ5wHaIjKqIryLZK6,Foo Fighters,All My Life,One By One (Expanded Edition),2002,72,0,0.577,0.604,5,-5.703,1,0.0495,0.000218,0.000579,0.477,0.637,167.719,263440,4,alternative metal;alternative rock;modern rock;permanent wave;post-grunge;rock,0
7vgTNTaEz3CsBZ1N4YQalM,Kanye West,Ghost Town,ye,2018,77,1,0.573,0.545,7,-4.247,0,0.0288,0.0969,0.0,0.329,0.297,83.378,271387,4,chicago rap;hip hop;rap,0
4S4Mfvv03M1cHgIOJcbUCL,Frank Ocean,In My Room,In My Room,2019,74,1,0.861,0.647,7,-7.425,1,0.0675,0.594,0.661,0.114,0.67,158.037,133680,4,lgbtq+ hip hop;neo soul,0
7a7W0Ki2ulwA0CNbTxJWZG,The Prodigy,Out of Space - Edit,Out of Space,1992,35,0,0.661,0.762,9,-13.484,1,0.0508,0.012,0.128,0.129,0.443,147.068,224133,4,big beat;breakbeat;dance rock;hardcore techno;rave,0
2gNfxysfBRfl9Lvi9T3v6R,Tame Impala,Disciples,Currents,2015,70,0,0.661,0.869,5,-5.477,1,0.0334,0.078,0.924,0.398,0.8,126.971,108547,4,australian psych;modern rock;neo-psychedelic;rock,0
2bPGTMB5sFfFYQ2YvSmup0,Rammstein,Deutschland,Rammstein,2019,75,0,0.521,0.895,7,-5.242,1,0.0442,5.54e-05,0.349,0.0985,0.237,120.117,322340,4,german metal;industrial;industrial metal;industrial rock;neue deutsche harte,0
7H0MOWplwc6gf2AD1vTSYi,The Prodigy,Voodoo People,Music for the Jilted Generation,1994,55,0,0.664,0.998,6,-5.86,0,0.0642,0.00128,0.466,0.287,0.37,149.002,387067,4,big beat;breakbeat;dance rock;hardcore techno;rave,0
79CUrU5o2KAVDTNm4x3eGU,The Prodigy,Firestarter,The Fat of the Land,1997,64,0,0.545,0.948,11,-5.098,1,0.0779,0.00335,0.364,0.226,0.355,141.507,279800,4,big beat;breakbeat;dance rock;hardcore techno;rave,0
75IQVo8hqI1iwVZyvkN2VT,Men I Trust,Show Me How,Show Me How,2018,80,0,0.791,0.271,5,-11.959,1,0.0431,0.672,0.543,0.102,0.564,166.002,215111,4,indie pop;pov: indie,0
63OQupATfueTdZMWTxW03A,Radiohead,Karma Police,OK Computer,1997,78,0,0.36,0.501,7,-9.129,1,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,264067,4,alternative rock;art rock;melancholia;oxford indie;permanent wave;rock,0
144adL7pGHEWRwute2wxzZ,The Prodigy,Omen,Invaders Must Die,2009,60,0,0.545,0.953,7,-5.172,1,0.0441,0.000941,0.117,0.281,0.558,140.002,216027,4,big beat;breakbeat;dance rock;hardcore techno;rave,0
2xpeEb2moFy7dRinc7tUnz,RAFFA GUIDO,Famax,Famax,2024,73,0,0.819,0.814,3,-8.229,0,0.0395,0.000563,0.919,0.113,0.325,120.99,335194,4,,0
4zN21mbAuaD0WqtmaTZZeP,James Hype,Ferrari,Ferrari,2022,78,0,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,186662,4,deep groove house;house;pop dance;uk dance,0
2DpM4jw683veA2BTcc3kZR,Vieze Asbak,Meet Her At The Love Parade - Beuk Mix,Meet Her At The Love Parade (Beuk Mix),2021,57,0,0.807,0.928,6,-4.267,0,0.0449,0.00073,0.868,0.0735,0.458,139.987,112259,4,meme,0
4oXg7xT4ksBxHTx8PcmSXw,Radiohead,15 Step,In Rainbows,2007,64,0,0.598,0.854,1,-7.584,1,0.0422,0.0477,0.338,0.0934,0.844,94.458,237293,4,alternative rock;art rock;melancholia;oxford indie;permanent wave;rock,0
0WQiDwKJclirSYG9v5tayI,The Smiths,There Is a Light That Never Goes Out - 2011 Remaster,The Queen Is Dead,1986,82,0,0.523,0.769,4,-5.855,1,0.0269,0.04,0.0,0.136,0.876,136.162,244587,4,madchester;new wave;permanent wave;rock;uk post-punk,0
5e5MKPtJuFb8NaeSEyV5gD,Kanye West,Say You Will,808s & Heartbreak,2008,55,0,0.603,0.401,0,-10.155,0,0.0306,0.542,0.225,0.103,0.347,172.633,377600,4,chicago rap;hip hop;rap,0
4gT3mNJA8lnlkYFqGZ8IA2,Mac Miller,Small Worlds,Swimming,2018,75,1,0.516,0.546,5,-9.105,1,0.249,0.814,4.5e-06,0.0995,0.515,78.267,271733,4,hip hop;pittsburgh rap;rap,0
5bJ1DrEM4hNCafcDd1oxHx,Mac Miller,Self Care,Swimming,2018,75,1,0.52,0.538,1,-8.109,1,0.206,0.367,0.00187,0.119,0.177,141.894,345133,4,hip hop;pittsburgh rap;rap,0
22zw6m2O6LoD3mVEcCUwiF,Vieze Asbak,Friesenjung (Sped Up),Friesenjung (Sped Up),2023,56,1,0.756,0.998,1,-2.986,1,0.129,0.072,0.0372,0.191,0.529,92.963,125797,4,meme,0
3gVhsZtseYtY1fMuyYq06F,Rammstein,Sonne,Mutter,2001,78,0,0.51,0.917,4,-4.806,0,0.0854,0.0054,0.000133,0.396,0.313,75.098,272440,4,german metal;industrial;industrial metal;industrial rock;neue deutsche harte,0
1FvDJ9KGxcqwv1utyPL3JZ,The Smiths,This Charming Man - 2011 Remaster,The Smiths,1984,79,0,0.611,0.846,11,-5.9,1,0.0436,0.00509,0.0,0.0784,0.751,103.912,162920,4,madchester;new wave;permanent wave;rock;uk post-punk,0
2Jb5Qyy37fdGOTJ6iPYq1y,The Prodigy,No Good (Start the Dance),Music for the Jilted Generation,1994,57,0,0.642,0.996,5,-4.343,0,0.0557,0.00662,0.75,0.181,0.161,144.993,379907,4,big beat;breakbeat;dance rock;hardcore techno;rave,0
4Sg6GHNxmrweYOKb1P1HIY,Underworld,Fen Violet - Edit,Fen Violet,2024,23,0,0.567,0.881,2,-9.288,1,0.0578,0.011,0.005,0.319,0.135,137.002,172640,4,big beat;electronica,0
4pWIwnnqx8k01fuF95UMIg,Radiohead,Bodysnatchers,In Rainbows,2007,63,0,0.342,0.976,2,-4.986,1,0.0573,0.00443,0.0175,0.0974,0.733,166.663,242293,4,alternative rock;art rock;melancholia;oxford indie;permanent wave;rock,0
7c378mlmubSu7NGkLFa4sN,Radiohead,Airbag,OK Computer,1997,61,0,0.305,0.872,2,-7.313,1,0.0503,0.00786,0.8,0.261,0.648,167.959,287880,4,alternative rock;art rock;melancholia;oxford indie;permanent wave;rock,0
1OubIZ0ARYCUq5kceYUQiO,Mac Miller,Congratulations (feat. Bilal),The Divine Feminine,2016,76,1,0.465,0.225,4,-12.637,0,0.0455,0.948,0.00155,0.18,0.207,57.75,256427,4,hip hop;pittsburgh rap;rap,0
3RKblQNJs8HPvWBgXmq6nn,Kanye West,Send It Up,Yeezus,2013,55,1,0.579,0.544,9,-5.193,1,0.352,0.292,7.41e-05,0.282,0.365,93.562,178040,4,chicago rap;hip hop;rap,0
48oX55j4gqDw0G80KxzpaQ,Björk,Venus As A Boy,Debut,1993,57,0,0.622,0.402,1,-11.751,1,0.034,0.0307,0.00372,0.0697,0.826,136.261,282560,4,alternative rock;art pop;electronica;experimental pop;experimental vocal;icelandic experimental;icelandic pop;icelandic singer-songwriter;metropopolis;permanent wave;trip hop,0
1xaTREM89RbIxkcjlpf4Uw,The Smiths,Heaven Knows I'm Miserable Now - 2011 Remaster,Hatful of Hollow,1984,77,0,0.609,0.759,6,-4.862,1,0.0276,0.028,0.0,0.183,0.774,114.045,215760,4,madchester;new wave;permanent wave;rock;uk post-punk,0
6Uwi2Qk3H7fM4b4W4ExrAp,Phoebe Bridgers,Scott Street,Stranger in the Alps,2017,75,0,0.508,0.417,10,-9.632,1,0.0296,0.77,0.0928,0.0887,0.483,134.944,305001,4,indie pop;la indie;pov: indie,0
6GnhWMhgJb7uyiiPEiEkDA,Mac Miller,Weekend (feat. Miguel),GO:OD AM,2015,75,1,0.843,0.435,8,-8.442,1,0.178,0.47,0.0,0.147,0.19,120.058,208080,4,hip hop;pittsburgh rap;rap,0
2yHls7BD2jZny6qKs1Dm8r,Joji,Reanimator (feat. Yves Tumor),Nectar,2020,45,0,0.328,0.416,10,-9.344,0,0.04,0.424,0.74,0.108,0.15,121.021,183256,4,viral pop,0
48vDCZIRmrFO33fH4QU4ij,The Prodigy,Smack My Bitch Up,The Fat of the Land,1997,63,1,0.604,0.995,10,-3.641,0,0.164,0.00306,0.626,0.109,0.262,136.216,343387,4,big beat;breakbeat;dance rock;hardcore techno;rave,0
2a1iMaoWQ5MnvLFBDv4qkf,Radiohead,High and Dry,The Bends,1995,77,0,0.419,0.383,4,-11.782,1,0.0256,0.0724,0.0176,0.0896,0.35,87.568,257480,4,alternative rock;art rock;melancholia;oxford indie;permanent wave;rock,0
37JISltgxizbDAyNEEqkTY,Radiohead,Planet Telex,The Bends,1995,58,0,0.429,0.881,9,-8.013,0,0.107,0.0213,0.688,0.607,0.258,148.963,259200,3,alternative rock;art rock;melancholia;oxford indie;permanent wave;rock,0
6MYYN85MjM7TARWshRwjyW,Björk,Human Behaviour,Debut,1993,54,0,0.687,0.635,2,-14.667,1,0.0366,0.0448,0.0274,0.0968,0.547,109.453,252360,4,alternative rock;art pop;electronica;experimental pop;experimental vocal;icelandic experimental;icelandic pop;icelandic singer-songwriter;metropopolis;permanent wave;trip hop,0
04mAOoQNsXmDJlyupJwmkO,Phoebe Bridgers,Waiting Room,"Lost Ark Studio Compilation, Vol. 8",2016,76,0,0.531,0.289,2,-10.065,1,0.0286,0.339,0.000358,0.134,0.12,129.753,393962,4,indie pop;la indie;pov: indie,0
0baNzeUcPQnQSagpe8T0mD,Joji,worldstar money (interlude),In Tongues (Deluxe),2018,75,1,0.577,0.387,7,-8.607,1,0.274,0.964,0.705,0.208,0.459,146.565,126312,1,viral pop,0
10nyNJ6zNy2YVYLrcwLccB,Radiohead,No Surprises,OK Computer,1997,82,0,0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,229120,4,alternative rock;art rock;melancholia;oxford indie;permanent wave;rock,0
1nNPoG2hygEvrFGlHdhvJ9,Kanye West,Bad News,808s & Heartbreak,2008,53,0,0.749,0.436,9,-11.99,1,0.0393,0.0288,0.201,0.114,0.167,106.171,238773,4,chicago rap;hip hop;rap,0
1xQ7uibzjdYQ0UsIKhdF5E,Vieze Asbak,Lekkere Boterham,Lekkere Boterham,2022,52,1,0.66,0.904,5,-7.648,0,0.0948,0.0106,0.358,0.0691,0.475,155.004,120433,4,meme,0
35YyxFpE0ZTOoqFx5bADW8,Radiohead,Nude,In Rainbows,2007,69,0,0.516,0.342,4,-9.785,1,0.0342,0.832,0.579,0.0857,0.167,128.378,255387,3,alternative rock;art rock;melancholia;oxford indie;permanent wave;rock,0
3X0K6fII7VIwL1URPrp8Ko,Rammstein,Ich will,Mutter,2001,69,0,0.648,0.896,2,-4.254,1,0.041,0.00138,0.000819,0.0879,0.468,128.115,217107,4,german metal;industrial;industrial metal;industrial rock;neue deutsche harte,0
3vK4A2BPFWDe4FatXwQhdN,Vieze Asbak,SPIJKERBOM,SPIJKERBOM,2023,50,0,0.674,0.999,5,-0.237,0,0.266,0.0624,0.713,0.0549,0.0587,155.001,168982,4,meme,0
4edsoB5q5RMuF77ShhHxyY,The Prodigy,Omen - Edit,Omen,2009,23,0,0.524,0.96,7,-5.194,1,0.0443,0.000214,0.698,0.319,0.701,140.034,194027,4,big beat;breakbeat;dance rock;hardcore techno;rave,0
5Zuboc3Cj9Ldnc8HyUnNUK,Rammstein,Engel,Sehnsucht - Anniversary Edition - Remastered,1997,71,0,0.625,0.597,2,-6.933,1,0.0281,0.00115,0.0162,0.408,0.273,96.066,264947,4,german metal;industrial;industrial metal;industrial rock;neue deutsche harte,0
5aNH8inF5BsbThDeOLs7zs,Rammstein,Feuer frei!,Mutter,2001,70,0,0.491,0.966,3,-3.974,1,0.0463,9.12e-05,0.346,0.153,0.223,95.141,188600,4,german metal;industrial;industrial metal;industrial rock;neue deutsche harte,0
658cX1xwwflgoUyLyKNmo0,Vieze Asbak,Bungelrave,Vieze Asbak III,2021,52,0,0.598,0.937,0,-5.684,1,0.0373,0.00842,0.824,0.163,0.154,139.993,115335,4,meme,0
6BrMEbPSSj55nQhkgf6DnE,The Smiths,"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",Hatful of Hollow,1984,77,0,0.241,0.468,2,-9.579,1,0.0272,0.534,0.0,0.161,0.451,91.581,112707,3,madchester;new wave;permanent wave;rock;uk post-punk,0
6Ed1q0X8oSKSm4IIhiQbYg,Joji,Daylight,Daylight,2020,64,1,0.528,0.749,7,-7.571,1,0.0479,0.00488,9.6e-05,0.0949,0.729,163.944,163906,4,viral pop,0
6LUGvXEAK8WxIBYK43uoTb,The Smiths,Back to the Old House - 2011 Remaster,Louder Than Bombs,1987,79,0,0.626,0.488,2,-7.805,1,0.0253,0.0102,0.000188,0.141,0.404,104.13,186627,3,madchester;new wave;permanent wave;rock;uk post-punk,0
6XcoiOYiNbIxzpt8WRxq8Z,Rammstein,Du hast,Sehnsucht - Anniversary Edition - Remastered,1997,75,0,0.642,0.899,9,-6.92,0,0.0381,0.00171,0.135,0.326,0.726,125.115,235601,4,german metal;industrial;industrial metal;industrial rock;neue deutsche harte,0
6gExa9cxGhE0TFvhcZrVfe,Joji,Ew,Nectar,2020,52,0,0.494,0.374,7,-9.322,0,0.0275,0.799,0.0785,0.12,0.038,114.06,207710,4,viral pop,0
73CKjW3vsUXRpy3NnX4H7F,Radiohead,Fake Plastic Trees,The Bends,1995,72,0,0.463,0.229,2,-12.592,1,0.0297,0.167,0.0997,0.202,0.135,73.543,290707,4,alternative rock;art rock;melancholia;oxford indie;permanent wave;rock,0
7xQYVjs4wZNdCwO0EeAWMC,Underworld,Born Slippy (Nuxx),1992 - 2012,2014,66,0,0.576,0.953,10,-8.968,1,0.0362,0.00106,0.49,0.474,0.303,140.042,456480,4,big beat;electronica,0
